CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
1a956a52a7fc0237eb3e1954faf760029caeff8d4a76bb7ac5c828f3f115b2a8c113b57bd2c445ac1f743d91ce15787228761ecc5909095d73f6d88683dbb3a2,JD442397,,11/26/2020 12:16:00 PM,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/26/2020 12:17:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1201,W,95TH ST,2213.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12,5,11,41.7212252887,-87.6530052641,POINT (-87.653005264107 41.721225288665)
22b3ef3259d68351dd141747f4b2f8921344a4877a5bfe01b8213dd8dd9e5b8c030eb3fac2e045cea66ccd6dcf01091e4ec1e15fb0364e4d1fb66f231d179872,JF402314,,09/19/2022 02:34:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO SIDE,Y-INTERSECTION,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",09/19/2022 02:34:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,3200,S,PAULINA ST,912.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14,2,9,41.8359582355,-87.6682383758,POINT (-87.668238375802 41.835958235504)
00cd35cbb989d2ce829935b4ad2228241b17e9d6d5eed949c9c485645ac24f4c8a619ebd3f5a476c32393f5b7f9cfafd83c884777ba4fde3801df137d71c78f5,JA314253,,06/16/2017 08:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",06/19/2017 07:40:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2256,N,LINCOLN AVE,1812.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,6,6,41.9230778551,-87.6456644547,POINT (-87.645664454682 41.9230778551)
049cdf7deac206180fc3d7e2fad8f00566b88e49e330138fb23cdd9c628c5fe271878505ff46975ebcfd9a5247b51b48930e4c405d66bda0f7a31044e3716040,JE267809,,06/26/2021 03:45:00 AM,30,NO CONTROLS,NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,N,"OVER $1,500",06/26/2021 03:50:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,4030,S,WESTERN AVE,921.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,7,6,41.8202183753,-87.6848914964,POINT (-87.684891496396 41.820218375329)
64536298b18fd9d1818333d71808db75f2203637bb761f9e567393493870897565c3ce27fe72e9ccb3dce094cfca19f8ab5511ebc5ec75c4f35e051fa89a5a28,JG339999,,07/13/2023 08:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",07/13/2023 09:12:00 PM,DISTRACTION - FROM INSIDE VEHICLE,UNABLE TO DETERMINE,1701,W,GRAND AVE,1215.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,20,5,7,41.8908333509,-87.6696189697,POINT (-87.669618969651 41.890833350909)
64cadbf727420f27c6d53a1d5247ceec7f5a91ea31be9e8f278f2aa24ddca23ca283c6347ce637118075f44f92126312467d4336df8ae0c5a98e306ec852d0ef,JD393701,Y,10/09/2020 11:30:00 AM,10,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ALLEY,,STRAIGHT AND LEVEL,DRY,"RUT, HOLES",NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",10/09/2020 12:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1448,W,ARGYLE ST,2033.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,6,10,41.9726793257,-87.6664904099,POINT (-87.666490409865 41.972679325734)
5904ebd5b9c1d60e98828a34edf3721d743cebc3ff8780ac6f16ba0211f48cdcb6d30e341f29874b0710761a477434144ee16cfd37b9c67a21b4e248b101f6f0,JG429691,,09/18/2023 04:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,09/18/2023 06:54:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,11398,S,UNION AVE,2233.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,2,9,41.6870203022,-87.6399392004,POINT (-87.639939200393 41.687020302151)
52d7fc03c17d6293a6bceb7e2e22afd88cd9f770b7d637d95840d5ed2933f652f9c4c5a7dcae25438e9dbf1f75028b86d872efdff3eb5642d4b40f1e25f159c9,JC153917,,02/15/2019 06:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,N,"$501 - $1,500",02/15/2019 06:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6700,S,ASHLAND AVE,725.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18,6,2,41.7720982328,-87.6641646176,POINT (-87.664164617596 41.77209823278)
d9872307ab2c860c0b81af6e7fa06669b4b7384938a7e4eef05efec2a8ad3857be9733fb2df1ea813fc975b0bffebbc167dd5f6542e88db13fc5b7ae9e3f99cd,JG180798,,03/10/2023 02:43:00 PM,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,ANGLE,ALLEY,,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",03/10/2023 03:20:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,6160,N,WOLCOTT AVE,2413.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14,6,3,41.9937201426,-87.6773040112,POINT (-87.677304011232 41.993720142593)
c38ddfbde62191bab5d6ed0fe7930e840cd4c7c02e5e6bb8a09a0bf766016fbe151d2c1a8bd5fc26fe58a787e1089186158d00eba94964e8435f5b1e7088e17a,JE154972,,02/28/2021 11:57:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",02/28/2021 11:57:00 AM,EQUIPMENT - VEHICLE CONDITION,NOT APPLICABLE,6320,S,COAST GUARD DR,331.0,,,,,,,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11,1,2,41.7793920685,-87.5752890358,POINT (-87.575289035786 41.779392068548)
9c33f2737e381c3c2640a71243d2bd560345a2a9925138f5eec751c0486d2bc52b88efe7de1360ccea87183e3cb8178331a3afe413a8385afcd94d0096d1a69f,JC231112,,04/20/2019 02:35:00 AM,15,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,FIXED OBJECT,ALLEY,,STRAIGHT AND LEVEL,DRY,OTHER,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",04/20/2019 02:35:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7027,S,EMERALD AVE,732.0,,,,,,,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,7,4,41.7662145586,-87.6430466939,POINT (-87.643046693878 41.766214558564)
af5d9136ed08a0f9c601461c388a92c5a6eb2973a4c4d8b9b962e1eb8916e1e8680a895d5dbab94b6fa6f1211e3e8c826c4e80abd0cdf734486c07e35e2a2432,HZ549865,,12/12/2016 10:35:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,REAR END,ONE-WAY,1.0,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,12/13/2016 08:50:00 AM,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,69,W,WASHINGTON ST,112.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10,2,12,41.8831004792,-87.6301472293,POINT (-87.630147229272 41.883100479248)
c9e37dcd2ff9408d53861c6de9e590d06af83d61f6589210a4636532da9b0a9e1d7c7ee4ddd961b0dbe08352325936942619217678d59db689c886e7980d22fc,JC211070,,04/04/2019 08:00:00 AM,0,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,OTHER,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",04/04/2019 08:05:00 AM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,3700,W,70TH PL,833.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,5,4,41.7652203574,-87.7151955195,POINT (-87.715195519466 41.765220357387)
85fd4f407e893d88594163aec4932bbc702e00de8bca59aa082867088c58d6f0e9fede0544d35eacd134e95f42df1f93098c2248f89fd6477d772dd8fcea80f3,JC556224,,12/22/2019 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",12/22/2019 09:15:00 AM,IMPROPER BACKING,NOT APPLICABLE,3089,S,LYMAN ST,913.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,1,12,41.8381251968,-87.6589826351,POINT (-87.658982635087 41.838125196792)
5c30fa8f2b691ed0f21eef321436cbc1b6c9d14a59a5c022dabfcce64f40d902ae66d7987035d61b0902e70d741e79ad23aab788a4d4e89077e5fe491e3c68ab,JF328127,,07/23/2022 03:15:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,N,"OVER $1,500",07/23/2022 03:17:00 AM,DISREGARDING OTHER TRAFFIC SIGNS,UNABLE TO DETERMINE,2000,W,CERMAK RD,1234.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,7,7,41.8522834928,-87.6759664283,POINT (-87.675966428283 41.852283492772)
31df3bb6eb8d25fcc0425e0f40c752ac98664dc9063a394ba73368aef088b186b7094ace6303b8ab5cdb12b16934a0c8b2803c5c98f3332d115fbad8ad97171f,JF327611,,07/15/2022 09:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",07/22/2022 05:20:00 PM,IMPROPER BACKING,UNABLE TO DETERMINE,816,W,27TH ST,913.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,6,7,41.8445988116,-87.6471515456,POINT (-87.647151545575 41.84459881157)
e34371d3843e3ab69939b2a4a8e09d950a236a151225f3997e7052876950b6cc5bf1da822c1987b5d093988eb8cf91f37136076e633b55ae1da06129d4b82593,JC122945,,01/19/2019 07:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DAWN,REAR END,ONE-WAY,2.0,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/19/2019 07:45:00 PM,FOLLOWING TOO CLOSELY,FAILING TO YIELD RIGHT-OF-WAY,821,S,FINANCIAL PL,123.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,7,1,41.8717133739,-87.6327876445,POINT (-87.632787644539 41.87171337395)
37a9fb7a920998dad2563815ed2facd207c228f670159f07b75edea13b20c233466388bf3b9b8c5986c67f309a579fa36179960a644411dacb1040241bcee343,JD104948,,01/05/2020 09:45:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/05/2020 10:05:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,5949,N,RIDGE AVE,2012.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1,1,41.989900565,-87.6701266047,POINT (-87.670126604708 41.989900564957)
842480f9db0841b0a221ae7ff3f2b6bf06d0414cc50831af07fde1ba5512092116f08840367a36c7e4c89ce2395566477f1f726a1deefb4248131657a9036787,JC413049,,08/30/2019 06:30:00 AM,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",08/30/2019 08:30:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,700,W,RANDOLPH ST,1224.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6,6,8,41.8845267774,-87.6456462603,POINT (-87.645646260266 41.884526777411)
2a4ea55f87ce764255a0c6a5869af71abd8917136e2f0e4a2acc537d983b05e40362f7c1bfdcade28e0b2b406356592375997edb10d231fc23442ae4be985dc0,JB414082,,08/29/2018 05:40:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,1.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,08/29/2018 05:50:00 PM,DRIVING ON WRONG SIDE/WRONG WAY,NOT APPLICABLE,50,N,PARKSIDE AVE,1513.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17,4,8,41.8817086263,-87.7667039542,POINT (-87.766703954223 41.881708626287)
73d896e890ef7c11d7c0982d90922ae2d8752894cc7d78fb7c3533e92d814873942a388730dab09edbebda396b3fdce581431cbab5b9747050f660573decf070,JC264316,,05/15/2019 03:45:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,05/15/2019 04:01:00 PM,IMPROPER OVERTAKING/PASSING,IMPROPER LANE USAGE,849,W,IRVING PARK RD,1923.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,4,5,41.9544201166,-87.6516425955,POINT (-87.65164259552 41.954420116644)
